review,BATTERY,CAMERA,GENERAL,SER&ACC,PERFORMANCE,DESIGN,FEATURES,PRICE,SCREEN,STORAGE
"nhân viên ở vĩnh tường nhiệt tình chu đáo, hết hàng mà vẫn tìm được cho khách",,,,positive,,,,,,
Có điều sao không thấy máy báo pin yếu,,,,,,,negative,,,
Sản phẩm quá tốt,,,positive,,,,,,,
máy vẫn nhanh và mượt,,,,,positive,,,,,
Camera kép chụp ảnh xoá phông chuyên nghiệp,,positive,,,,,,,,
Chơi game rất tốt,,,,,positive,,,,,
sp vẫn rất ngon,,,positive,,,,,,,
pin trâu,positive,,,,,,,,,
tuy nhiên khi ngủ lại bị tuột dluợng,negative,,,,,,,,,
"game liên quân rất mượt. Hình ảnh max cấu hình,d độ sáng 50% hơi ấm nhẹ",,,,,neutral,,,,,
Tốc độ mạng rất OK,,,,,,,positive,,,
Chơi game thì rất OK,,,,,positive,,,,,
camera sau hình ảnh xấu 64mpx mà giống 12mpx,,negative,,,,,,,,
camera trước thì chụp đẹp,,positive,,,,,,,,
Nói chung máy sử dụng mượt mà,,,,,positive,,,,,
Giá lại bình dân,,,,,,,,positive,,
Cám mơn nhân viên thế giới di động đã phục vụ tận tình,,,,positive,,,,,,
máy ko có vđ gì hết,,,positive,,,,,,,
chạy mượt,,,,,positive,,,,,
pin khỏe,positive,,,,,,,,,
thấy máy này rất tuyệt,,,positive,,,,,,,
cảm ơn dmx,,,,positive,,,,,,
Máy khi đeo óp thì nút âm lượng lẫn nguồn cứng phải ấn mạnh mới ăn . Tháo ra thì bấm cũng đỡ hơn 1 chủt nhưng cũng ko nảy lắm,,,,,,negative,,,,
Màn hình to ổn ánh sáng trung bình ko sáng lắm,,,,,,,,,positive,
pin cũng tạm chấp nhận,neutral,,,,,,,,,
Camera tệ auto focus mà lấy nét chụp vẫn nhoè dù giữ chặt tay,,negative,,,,,,,,
Loa ngoài hơi rè 1 chút khi bật lớn . Loa trong ok lớn,,,,,,,negative,,,
Mặt lưng bám khá nhiều vân tay nếu ko xài ốp,,,,,,negative,,,,
chơi game thi ok,,,,,positive,,,,,
Camera sau thì dep. Camera trước quá xấu,,neutral,,,,,,,,
Pin mau hết,negative,,,,,,,,,
Máy cái gì cũng ổn,,,positive,,,,,,,
"vsmart joy 3 ping lên cao, chơi game hay bị delay giật giật",,,,,negative,,,,,
Quá thất vọng wifi,,,,,,,negative,,,
 còn lại mọi thứ đều ổn,,,positive,,,,,,,
máy nóng lên là bị giật rồi treo máy luôn,,,,,negative,,,,,
Samsung a21s mới ra tệ toàn tập,,,negative,,,,,,,
Lướt web chậm,,,,,negative,,,,,
pin tuột nhanh,negative,,,,,,,,,
chụp hình bị ám màu như trong hình,,negative,,,,,,,,
kg có chức năng thông minh,,,,,,,negative,,,
Tôi mua xong kg sử dụng được,,,negative,,,,,,,
Tốt chưa thấy lỗi gì,,,positive,,,,,,,
20% pin dùng dc 3h30p trâu vãi,positive,,,,,,,,,
chơi game ổn. Vừa cập nhật 11.0.3 thấy fix dc lỗi tự thoát app rồi,,,,,positive,,,,,
Nhanh hết pin.thua pin 3000 của Huawei,negative,,,,,,,,,
con note mua 1 ngày máy ko dùng gì từ 8h sáng đến 4h30 còn 83%,negative,,,,,,,,,
nó chậm đôi lúc còn đứng máy,,,,,negative,,,,,
chơi game thì ok,,,,,positive,,,,,
vấn đề về sạc thôi. Mới mua về sạc 10' được 18_19% bây giờ sạc 15' mới được 10%,negative,,,,,,,,,
Tốt sài mấy ngày đầu vẫn bình thường,,,positive,,,,,,,
"pin trâu,",positive,,,,,,,,,
cầm thấy chắc tay,,,,,,positive,,,,
nhân viên phục vụ siêu tốt luôn,,,,positive,,,,,,
Máy tốt,,,positive,,,,,,,
mượt,,,,,positive,,,,,
pin sạc nhanh,positive,,,,,,,,,
"Phần trình duyệt hình như bị lỗi, vào web baomoi.com đọc bị văng ra",,,,,negative,,,,,
các tác vụ giải trí thấy ổn,,,,,positive,,,,,
Màn hình to,,,,,,,,,positive,
vân tay siêu nhạy,,,,,,,positive,,,
Sạc nhanh,positive,,,,,,,,,
Chơi game ok,,,,,positive,,,,,
Anh chị nhân viên tư vấn nhiệt tình,,,,positive,,,,,,
Máy nóng kinh khủng.khó hiểu...lo nổ,,,,,negative,,,,,
"Mọi thứ còn lại cũng bình thường,không có gì nổi bật",,,neutral,,,,,,,
sài quá tuyệt vời,,,positive,,,,,,,
quá mượt,,,,,positive,,,,,
màn hình ip11 năm nay quá đẹp,,,,,,,,,positive,
 các tác vụ đều mượt mà ko chê vào đâu được,,,,,positive,,,,,
pin thì khỏi phải nói rồi trâu bò luôn,positive,,,,,,,,,
sản phẩm đáng mua,,,positive,,,,,,,
 iPhone mà,,,,positive,,,,,,
Vivo y19 hoạt động thấy rất hài lòng,,,,,positive,,,,,
Mình ấn tượng nhất là pin . Lướt Facebook và xem Youtube cả ngày không hết,positive,,,,,,,,,
Sạc đầy pin 100% mình để máy chạy aspha 8 chạy liên tục được 36 tiếng mà máy không hề nóng,positive,,,,,,,,,
với số tiền 4990 thì quá tuyệt vời so với giá trị của nó,,,positive,,,,,,,
Máy e mới mua sao đang dùng tối thui màn hình.bật mãi ko sáng.có ai gọi đến chỉ thấy chuông màn hình cũng k sáng,,,,,,,,,negative,
nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo,,,,,negative,,,,,
"Máy lag, không nhúc nhích được",,,,,negative,,,,,
TGDD thì không cho đổi trả. Đã mua rất nhiều ở TGDD và đây là lần cuối cùng. Thề tẩy chay TGDD,,,,negative,,,,,,
Máy mượt lướt web chơi game ok,,,,,positive,,,,,
Màn hình lớn thoải mái xem phim,,,,,,,,,positive,
Apple là thương hiệu tốt nhất,,,,positive,,,,,,
"wifi vẫn kém, mạng vẫn chập chờn",,,,,,,negative,,,
"màn hình ám vàng khá xấu, xem youtube hình ảnh cũng xấu không chân thực",,,,,,,,,negative,
Máy ngon,,,positive,,,,,,,
giá rẻ,,,,,,,,positive,,
Đc giảm giá,,,,positive,,,,,,
Pin khỏe nên rất ưng,positive,,,,,,,,,
Nv lqij tư vấn nhiệt tình,,,,positive,,,,,,
Thấy dùng tốt,,,positive,,,,,,,
Máy Sài ok,,,positive,,,,,,,
camera trước gọi video chùp hình mờ và tối,,negative,,,,,,,,
Sản phẩm xài rất ok,,,positive,,,,,,,
luot web rất nhanh,,,,,positive,,,,,
máy ảnh chụp rất đẹp,,positive,,,,,,,,
pin xài lâu ít hao,positive,,,,,,,,,
con này tầm trung vừa túi tiền rất phù hợp,,,,,,,,positive,,
Nghe gọi xem phim lướt facebook zalo pin trâu ok,positive,,,,,,,,,
 chụp hình tạm được quay video hình ảnh chấp nhận được,,neutral,,,,,,,,
những âm thanh thì vãi a11 này quay video ca nhạc thì âm thanh thôi rồi không nghe được nhạc re không còn là âm thanh nữa thua cả j5,,,,,,,negative,,,
Máy có thiết kế hài hòa thân thiện . thừa hưởng thiết kế tốt,,,,,,positive,,,,
giá lại rẻ,,,,,,,,positive,,
Có sạc nhanh,positive,,,,,,,,,
màn hình mới mẻ nhất,,,,,,,,,positive,
Các tác vụ cơ bản mượt mà,,,,,positive,,,,,
"Sài được không lâu máy lang dô YouTube ,zingmp3 Google..... Đều bị dăng ra buộc phải khởi động lại",,,,,negative,,,,,
pin sài từ từ thì thấy mua hao lắm,negative,,,,,,,,,
phải nói thật là ss quá tệ,,,,negative,,,,,,
loạn cảm ứng,,,,,,,negative,,,
pin ko bền,negative,,,,,,,,,
có tình trạng lag giật khi chơi pubg mặc dù để setting thấp nhất,,,,,negative,,,,,
Máy dùng khá oke,,,positive,,,,,,,
Pin oke,positive,,,,,,,,,
Game oke,,,,,positive,,,,,
phần điều hướng cử chỉ hay loạn. Đang gõ mà nhanh quá thì tự nhận về home,,,,,,,negative,,,
mọi thứ đều rất ok,,,positive,,,,,,,
Pin dung tốt,positive,,,,,,,,,
camera,,positive,,,,,,,,
nghe gọi ở,,,,,,,positive,,,
sạc pin nhanh,positive,,,,,,,,,
Máy dùng mượt mà,,,,,positive,,,,,
sóngkhỏe ổn định vân tay nhảy tuyệt vời,,,,,,,positive,,,
nhân viên phục vụ nhiệt tình chu đáo,,,,positive,,,,,,
Máy nhỏ gọn. Thiết kế đẹp samsung đúng luôn đi đầu về thiết kế,,,,,,positive,,,,
Nhân viên tư vấn nhiệt tình. Hộ trợ mình cài hết dữ.cảm ơn cửa hàng 1615 tỉnh lộ 10. Cảm ơn nhiệt huyết của nhân viên. Đặc biệt là bạn tư vấn nguyễn thành vinh mặc áo xanh,,,,positive,,,,,,
"Bin trâu tuyệt vời. Xem phim giờ chỉ mất 6 - 7%, sạc đầy xem phim chơi game hỗn hợp hơn khoảng 10 tiếng(wifi)",positive,,,,,,,,,
Đánh liên quân củng ổn k giật,,,,,positive,,,,,
Điện thoại khá tốt,,,positive,,,,,,,
pin trâu sạc pin nhanh,positive,,,,,,,,,
chơi game mượt ko có hiện tượng giật hay lag gì hết,,,,,positive,,,,,
xiaomi redmi note 9 pro chưa bị 1 lỗi gì cả,,,positive,,,,,,,
Sản phẩm tốt hơn mong đợi không có gi phàn nàn cả samsubg thật hiểu ng dùng,,,positive,,,,,,,
 pin trâu,positive,,,,,,,,,
song khỏe,,,,,,,positive,,,
cấu hình manhh,,,,,positive,,,,,
Màn hình sọc,,,,,,,,,negative,
Cảm ứng rất tệ,,,,,,,negative,,,
Quá tệ,,,positive,,,,,,,
Cứ lên bảo hành nói là lỗi phân mềm cáp nhật về cũng vậy,,,,,negative,,,,,
Chơi Pubg ko dc ổn  ghìm tâm ko mượt,,,,,negative,,,,,
cảm ứng tạm chấp nhận,,,,,,,neutral,,,
dc cái pin trâu,positive,,,,,,,,,
chơi Liên Quân khỏi bàn,,,,,positive,,,,,
tạm chấp nhận dc,,,positive,,,,,,,
Dùng tốt,,,positive,,,,,,,
Chơi game cả ngày k lo hết pin,positive,,,,,,,,,
Hiệu năng chơi game ổn. Cấu hình ngon,,,,,positive,,,,,
Camera 48mp chụp đẹp,,positive,,,,,,,,
Nói chung là k còn j để chê,,,positive,,,,,,,
game chơi chỉnh đồ họa max không lag giật,,,,,positive,,,,,
"trung bình 30 hao10% pin ( liên quân, pubg)",neutral,,,,,,,,,
chụp hình thì tạm ổn,,neutral,,,,,,,,
máy đẹp,,,,,,positive,,,,
pin trâu,positive,,,,,,,,,
"nhân viên thì nhiệt tình, chu đáo, vui vẽ",,,,positive,,,,,,
Pin trâu,positive,,,,,,,,,
chiến game ngon,,,,,positive,,,,,
vân tay mượt + nhận diện face tốt,,,,,,,positive,,,
dùng ngon,,,positive,,,,,,,
camera ổn,,positive,,,,,,,,
pin thì sai trung bình,neutral,,,,,,,,,
cấu hình chơi hero survival 20 người combo ko lag,,,,,neutral,,,,,
OK camera như cậy thì đc rồi,,positive,,,,,,,,
 giá máy như vậy là OK lun,,,,,,,,positive,,
Nhân viên ở bạc liêu thì nhiệt tình và hết mình hổ trợ cho khách mình cảm thấy vui khi mua đồ ở thế giới Di động,,,,positive,,,,,,
dùng rất thích không có lag dật j,,,,,positive,,,,,
đúng ngon,,,positive,,,,,,,
Máy dùng khá chán,,,negative,,,,,,,
Cam k như giới thiệu. Ảnh mờ mờ nhạt nhạt. K chân thật rõ nét như quảng cáo,,negative,,,,,,,,
Cảm biến vân tay thì đúng thật quá chán. Thời gian đầu còn dùng đc. Chứ giờ là tạch luôn. K dùng đc vân tay nữa rồi,,,,,,,negative,,,
Thỉnh thoảng sài máy màn hình còn bị nhiễu,,,,,,,,,negative,
lỗi main vs nguồn,,,,,,negative,,,,
128g xài mấy ứng dụng cơ bản cứ báo dung lượng dầy,,,,,,,,,,negative
tệ quá tệ,,,negative,,,,,,,
Thiêt bị khá ổn,,,,,,positive,,,,
Camera ổn,,positive,,,,,,,,
Cấu hình ok . Chơi game bật cấu hình cao không lag,,,,,positive,,,,,
máy dùng tốt,,,positive,,,,,,,
pin tụt nhanh,negative,,,,,,,,,
Còn đâu mọi thứ tạm ổn,,,neutral,,,,,,,
Loạn cảm ứng nặng Chạy linh tinh,,,,,,,negative,,,
 Sai lầm khi mua,,,negative,,,,,,,
Đc pin trâu,positive,,,,,,,,,
 Cấu hình tạm,,,,,neutral,,,,,
ko thể phóng to màn hình,,,,,,,,,negative,
Pin nhanh hết,negative,,,,,,,,,
máy thì nóng,,,,,negative,,,,,
bề ngoài đẹp,,,,,,positive,,,,
quá thất vọng với máy này,,,negative,,,,,,,
"Phục vụ tận tình, chu đáo",,,,positive,,,,,,
máy dùng tốt,,,positive,,,,,,,
thêm chương trình giảm giá nữa quá tuyệt vời,,,,positive,,,,,,
Vừa túi tiền,,,,,,,,positive,,
Đẹp chất lượng,,,positive,,,,,,,
màn hình tràn viền,,,,,,,,,positive,
giảm hơn 5tr hajzzz rớt giá nhanh quá,,,,,,,,negative,,
máy thì xài rất là ok,,,positive,,,,,,,
chơi game chạy rất nhanh,,,,,positive,,,,,
nhiều cảm ứng nhỏ ko nhạy cho lắm thôi,,,,,,,negative,,,
cảm thấy OK,,,positive,,,,,,,
Sản phẩm quá tệ,,,negative,,,,,,,
mua về dùng cứ 6 h tối là tLiên tục khởi động lại . bực hết cả mình,,,,,negative,,,,,
quá tệ,,,negative,,,,,,,
 mới mua mà giật lác kinh khủng nản so với các dòng như huwei thì chip thua xa,,,,,negative,,,,,
6.600.000,,,,,,,,neutral,,
cũng tạm ổn rồi,,,neutral,,,,,,,
Cấu hình ko mượt,,,,,negative,,,,,
"chơi liên quân cũng bị giật , sử dụng ko thoait mái",,,,,negative,,,,,
"nhận diện vân tay quá chậm , nhận diện khuôn mặt cũng rất chậm , phải đặt ngay mặt , thiếu ánh sáng không nhận diện",,,,,,,negative,,,
thấy cũng khá ok,,,positive,,,,,,,
Game PUBG ổn mướt rượt khi bật mức trung bình k giật lag,,,,,positive,,,,,
Pin 4k cũng khá,positive,,,,,,,,,
nghe nhạc tạm ok,,,,,,,neutral,,,
"camera sau ổn, camera trước nó tệ mún khóc luôn",,neutral,,,,,,,,
Con này dùng cày game thì ổn,,,,,positive,,,,,
