Id,Date published,Title,Channel title,View count,Like count,Comments count
gGoXIu5gMNI,2023-11-15T11:11:05Z,Galaxy S24 Ultra và toàn bộ thiết kế mới - Cái kết của một xu hướng!,ReLab,68301,597,254
_iderasGBQs,2024-02-04T12:12:57Z,Đừng chửi mình vì so sánh Galaxy S24 Ultra với iPhone 14 Pro Max nhé 🥹,Vinh Xô,4847,215,68
5trWyE_r06M,2024-01-26T11:25:58Z,Vinh Xô | Galaxy S24 Ultra hay S23 Ultra: ĐỪNG CHỌN SAI!,Vinh Xô,46464,893,215
OdmRpZh3tTE,2024-01-18T01:42:51Z,Chỉ 8 phút đủ biết mọi thứ về Galaxy S24 Ultra: lần đầu có Titan và rất rất nhiều AI,Vinh Xô,112994,1424,473
maY-WTy_dD8,2024-01-18T00:00:31Z,"5 tính năng AI trên Galaxy S24 Ultra mà bạn cần phải biết: sửa ảnh như PTS, dịch 13 ngôn ngữ và...",Vinh Xô,42351,850,273
leYAYhfIlEw,2024-01-20T05:03:05Z,"Vlog | Đi xem Tesla Cybertruck ngoài đời thật, quay 4K bằng Galaxy S24 Ultra",Vinh Xô,12555,310,46
2_biGlfHBF4,2024-01-23T11:00:02Z,"Mình đã chốt mua Galaxy S24 Ultra, không phải S24 thường",Duy Luân Dễ Thương,23629,425,132
Rrn-ohCq9d0,2024-01-24T11:00:20Z,Có nên mua Galaxy S24 Ultra? Review nhanh sau 1 tuần,Duy Luân Dễ Thương,32692,605,156
6r7G_eH9ckU,2024-01-17T18:03:16Z,"Ấn tượng thực tế với Galaxy S24 Ultra: đẹp, rất đẹp, test nhnah tính năng AI cho anh em coi",Duy Luân Dễ Thương,86928,1294,442
Xi7QhdEetr0,2024-01-22T04:35:09Z,So sánh Galaxy S24 Ultra vs Galaxy S23 Ultra: ngoại hình và camera là khác biệt chính,Duy Luân Dễ Thương,49983,691,247
SNaeBn-MgQA,2024-01-21T03:22:44Z,So sánh camera Galaxy S24 Ultra vs iPhone 15 Pro Max: bổ sung chống rung,Duy Luân Dễ Thương,30335,503,212
FqIWxkWMZBI,2024-01-19T02:00:06Z,Galaxy S24 Ultra đẹp quá trời #shorts,Duy Luân Dễ Thương,72673,1835,154
kr6I-5XyDgo,2023-12-26T05:38:13Z,ĐÂY LÀ GALAXY S24 ULTRA !!!,AnhEm TV,44235,748,186
gA_0Buk1FxI,2024-01-27T12:00:39Z,"NĂM MỚI 2024, TẬU “TRỢ LÝ” GALAXY S24 ULTRA - AI SIÊU ĐỈNH, ĐỠ VẤT VẢ BIẾT BAO!!",AnhEm TV,13755,390,3
DUmoKesxbTU,2024-01-19T12:30:15Z,Những trải nghiệm cực XỊN trên Galaxy S24 Ultra !!!,Tony Phùng Studio,51413,705,224
4azGQ1_rOG4,2024-01-17T18:17:04Z,"Trên tay Galaxy S24 Ultra: AI sẽ là xu hướng, camera nhiều nâng cấp, màn hình phẳng !!!",Tony Phùng Studio,23797,441,164
9kzaWZ4FLVI,2024-01-27T12:30:09Z,So sánh iPhone 15 Pro Max và Galaxy S24 Ultra !!!,Tony Phùng Studio,31214,591,302
x-hwhNyA0Zo,2024-01-22T13:00:56Z,Snapdragon 8 Gen 3 trên Galaxy S24 Ultra mạnh tới đâu ???,Tony Phùng Studio,9103,207,33
XcknojcrxqI,2024-01-30T04:45:02Z,Galaxy AI trên Galaxy S24 Ultra rất ấn tượng và thực dụng !!!,Tony Phùng Studio,5877,167,40
X53f4X-L3ws,2024-01-30T13:00:34Z,Có nên nâng cấp lên Galaxy S24 Ultra hay mua Galaxy S23 Ultra là đủ rồi ???,Tony Phùng Studio,11925,182,52
m0Hq974MUsc,2024-01-27T05:00:20Z,"Snapdragon 8 Gen 3 trên Galaxy S24 Ultra ""BỊ BÓP HIỆU NĂNG"" ???",Tony Phùng Studio,10221,374,29
vY10dNiHY5Y,2023-12-17T13:00:47Z,Sắp ra Galaxy S24 Ultra nhưng S23 Ultra vẫn vô đối những thứ này !!!,Tony Phùng Studio,12379,272,71
